Date,Account/Account Code,Start Date,End Date,Start Balance,End Balance,Description,Received,Spent,Balance,Order ID,Status,Transaction Type
15-09-25,Casebang-S,01-09-25,30-09-25,12729.3,17643.05,ESCROW_VERIFIED_ADD | Order: 250913CCW466VV | Wallet: shopee_pay | TxnID: 196218737987165969,55.59,0,7262.36,250913CCW466VV,Not Reconciled,ESCROW_VERIFIED_ADD
15-09-25,,,,,,ESCROW_VERIFIED_ADD | Order: 250912B2RVVMRT | Wallet: shopee_pay | TxnID: 196213733662400182,130.75,0,7206.77,250912B2RVVMRT,Not Reconciled,ESCROW_VERIFIED_ADD
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196202479287803665,0,21.6,7076.02,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196196208149012453,0,21.6,7097.62,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196189712497516348,0,21.6,7119.22,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,ESCROW_VERIFIED_ADD | Order: 250913CSDV7UNY | Wallet: shopee_pay | TxnID: 196189445135802341,74.62,0,7140.82,250913CSDV7UNY,Not Reconciled,ESCROW_VERIFIED_ADD
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196178109391707772,0,21.6,7066.2,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196168274621243062,0,21.6,7087.8,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,ESCROW_VERIFIED_ADD | Order: 250827V73D2PNC | Wallet: shopee_pay | TxnID: 196161108568972987,85.64,0,7109.4,250827V73D2PNC,Not Reconciled,ESCROW_VERIFIED_ADD
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196159141138407036,0,21.6,7023.76,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196151262507441788,0,21.6,7045.36,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196142424555265660,0,21.6,7066.96,,Not Reconciled,SVS_PAYMENT_DEDUCT
15-09-25,,,,,,SVS_PAYMENT_DEDUCT | SPM create wallet transaction | Wallet: shopee_pay | TxnID: 196133312530488956,0,21.6,7088.56,,Not Reconciled,SVS_PAYMENT_DEDUCT
